row,cooks,hat,stdres,resid,fitted
147,0.06181190397331352,0.05200385677146504,-2.8084751734525466,-135505.9238483651,75265.7798708032
156,0.057679255239300585,0.05117738814023723,-2.7359760805123075,-132065.45024742113,80625.88627168364
10,0.04898208092195113,0.10134810216762495,1.7436349812727274,81909.7741364353,119078.69777240197
126,0.040297020634605364,0.07894036716668157,-1.8141775665354585,-86279.59024286568,139591.2685782767
180,0.0374520062624617,0.07551207176406395,1.7915502465258129,85361.89004500941,182766.5386148795
30,0.0364050789387057,0.04070285619692295,2.450722519372935,118947.44677736131,82489.69547133303
183,0.03303907443061034,0.05107074884280926,2.0729735477521545,100067.96880208439,80309.55951796882
21,0.02673137542909836,0.07866064247397633,-1.4804397583602722,-70418.2063549001,163704.62127596448
134,0.026648128562052818,0.058408769144996625,1.7341016556198197,83385.42806705531,107583.04303019024
92,0.025322976205577673,0.03159328297264783,2.3309765868644234,113671.40160110286,140403.40545595431
152,0.024430611761903396,0.04979803093193067,-1.8064172375743106,-87259.04166019622,125228.52124214046
77,0.0215844062849757,0.02765050632591322,2.305041376683362,112635.25041024176,118686.50895168314
34,0.021190061323433818,0.023233432090067334,2.497202927038081,122302.02155689767,87257.36366265162
53,0.020698909580759792,0.03707713600921203,-1.9398377790172001,-94329.07368193478,85213.6364194213
37,0.020556157320123558,0.06080841294080316,1.490785805050467,71594.02067069359,128338.84108291405
